City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Ouallam,NE,14.32,2.09,88.61,52,100,16.55,overcast clouds
83,Saldanha,ZA,-33.01,17.94,53.6,46,28,16.11,scattered clouds
84,La Palma,US,33.85,-118.05,66.2,72,90,4.14,haze
85,Saskylakh,RU,71.92,114.08,54.28,59,100,4.92,overcast clouds
86,Karonga,MW,-9.93,33.93,79.97,49,99,5.79,overcast clouds
87,Pevek,RU,69.7,170.31,38.32,87,100,3.53,overcast clouds
88,Bouna,CI,9.27,-3.0,83.71,66,91,9.84,light rain
89,Kibala,TD,9.11,18.35,78.8,88,40,6.93,thunderstorm with light rain
90,Lata,PT,40.16,-8.33,78.01,59,0,8.01,clear sky
91,Carnarvon,AU,-24.87,113.63,64.4,82,0,14.99,clear sky
92,Vychegodskiy,RU,61.25,46.9,59.59,84,100,3.36,moderate rain
93,Caconda,AO,-13.73,15.07,77.79,31,96,3.91,overcast clouds
94,Sibolga,ID,1.74,98.78,78.21,80,100,2.35,overcast clouds
95,Dali,CN,25.7,100.18,64.58,83,100,3.62,overcast clouds
96,Georgetown,MY,5.41,100.34,86.0,70,20,3.36,few clouds
97,Athabasca,CA,54.72,-113.29,48.85,91,100,2.95,light rain
98,Mahebourg,MU,-20.41,57.7,71.6,83,75,12.75,shower rain
99,Gat,IL,31.61,34.76,89.01,44,0,1.99,clear sky
100,Tautira,PF,-17.73,-149.15,73.4,78,20,2.24,few clouds
101,Iralaya,HN,15.0,-83.23,84.81,79,5,10.58,clear sky
102,Marshall,US,34.38,-86.33,82.0,88,90,10.29,light rain
103,Bredasdorp,ZA,-34.53,20.04,51.8,50,83,8.05,light rain
104,Mareeba,AU,-17.0,145.43,68.0,94,90,17.22,light intensity shower rain
105,Nalut,LY,30.33,10.85,102.38,10,0,3.47,clear sky
106,Souris,CA,49.62,-100.26,63.0,87,20,2.24,few clouds
107,Tecoanapa,MX,16.52,-98.75,77.88,84,100,2.75,overcast clouds
108,Esmeraldas,BR,-19.76,-44.31,78.8,44,40,6.93,scattered clouds
109,Provideniya,RU,64.38,-173.3,47.73,86,54,9.57,broken clouds
110,Kahului,US,20.89,-156.47,77.0,69,1,10.29,clear sky
111,Mehamn,NO,71.04,27.85,49.05,69,22,7.09,light rain
112,Barao De Melgaco,BR,-16.19,-55.97,96.8,12,0,5.82,clear sky
113,Cidreira,BR,-30.18,-50.21,71.26,69,84,5.99,broken clouds
114,Pisco,PE,-13.7,-76.22,62.6,82,90,8.05,overcast clouds
115,San Policarpo,PH,12.18,125.51,80.22,80,100,8.99,overcast clouds
116,San Patricio,MX,19.22,-104.7,77.0,88,75,6.93,broken clouds
117,Boldva,HU,48.22,20.8,84.2,54,0,9.17,clear sky
118,Dingle,PH,11.0,122.67,76.35,86,100,3.33,overcast clouds
119,Rio Grande,BR,-32.03,-52.1,62.6,93,90,5.82,overcast clouds
120,Bengkulu,ID,-3.8,102.27,78.1,86,78,7.23,broken clouds
121,Sisimiut,GL,66.94,-53.67,47.14,89,100,5.66,light rain
122,Esperance,AU,-33.87,121.9,48.2,81,90,5.82,overcast clouds
123,Kuah,MY,6.33,99.84,84.2,89,20,6.71,few clouds
124,Kasongo-Lunda,CD,-6.47,16.82,93.7,32,60,1.92,broken clouds
125,Saint-Raymond,CA,45.47,-73.61,60.01,93,90,11.41,light rain
126,Anadyr,RU,64.75,177.48,44.6,87,90,17.9,overcast clouds
127,Ponta Do Sol,PT,32.67,-17.1,78.8,54,40,18.34,scattered clouds
128,Bo Rai,TH,12.57,102.54,77.58,85,40,2.51,scattered clouds
129,Upernavik,GL,72.79,-56.15,41.23,63,0,7.07,clear sky
130,Yumen,CN,40.28,97.2,59.09,46,33,7.07,scattered clouds
131,Jamestown,US,42.1,-79.24,73.99,83,40,12.75,light rain
132,Along,IN,28.17,94.77,73.92,89,63,0.31,broken clouds
133,Calvinia,ZA,-31.47,19.78,42.51,64,89,20.51,light rain
134,Khatanga,RU,71.97,102.5,52.34,67,97,8.41,overcast clouds
135,Barra Do Garcas,BR,-15.89,-52.26,93.2,20,0,13.87,clear sky
136,Moen,NO,69.13,18.61,55.4,54,84,8.05,broken clouds
137,East London,ZA,-33.02,27.91,59.0,58,20,27.51,few clouds
138,Raudeberg,NO,61.99,5.14,54.0,81,0,21.36,clear sky
139,Bathsheba,BB,13.22,-59.52,84.2,74,40,14.99,shower rain
140,Alappuzha,IN,9.49,76.33,80.42,83,100,7.23,overcast clouds
141,Interlaken,US,36.95,-121.73,55.99,100,90,3.36,mist
142,Tupaciguara,BR,-18.59,-48.7,78.8,34,0,12.75,clear sky
143,Geraldton,AU,-28.77,114.6,48.2,87,0,6.93,clear sky
144,Bilibino,RU,68.05,166.44,44.31,81,100,6.55,overcast clouds
145,Tuktoyaktuk,CA,69.45,-133.04,39.2,93,75,10.29,broken clouds
146,Iwanai,JP,42.97,140.51,69.04,89,98,8.72,overcast clouds
147,Mar Del Plata,AR,-38.0,-57.56,53.6,76,100,10.29,overcast clouds
148,Nuevo Progreso,MX,23.17,-97.95,84.99,70,93,6.4,overcast clouds
149,Moose Factory,CA,51.26,-80.61,53.6,93,90,2.24,overcast clouds
150,Antalaha,MG,-14.9,50.28,73.17,75,2,11.14,clear sky
151,Flin Flon,CA,54.77,-101.86,59.0,87,40,5.82,scattered clouds
152,Kapaa,US,22.08,-159.32,72.0,73,90,9.17,overcast clouds
153,Lavrentiya,RU,65.58,-171.0,46.2,81,94,9.46,overcast clouds
154,Baoding,CN,38.85,115.49,78.22,75,66,5.21,light rain
155,Springbok,ZA,-29.66,17.89,43.59,63,94,18.25,light rain
156,Tasiilaq,GL,65.61,-37.64,42.8,70,75,29.97,light rain
157,Bukachacha,RU,52.98,116.92,49.39,90,100,3.94,light rain
158,Hearst,CA,49.68,-83.67,55.56,94,100,3.22,overcast clouds
159,Finschhafen,PG,-6.6,147.87,77.58,81,22,8.9,light rain
160,High Level,CA,58.52,-117.14,44.6,100,75,4.7,broken clouds
161,Lodja,CD,-3.48,23.43,88.86,45,79,2.28,broken clouds
162,Victoria,HK,22.29,114.16,86.0,70,5,4.0,clear sky
163,Klaksvik,FO,62.23,-6.59,51.8,71,100,5.82,overcast clouds
164,Luena,AO,-11.78,19.92,86.0,66,75,5.82,broken clouds
165,Codrington,AU,-38.27,141.97,60.01,37,100,21.85,overcast clouds
166,Fortuna,US,40.6,-124.16,55.0,93,90,3.36,overcast clouds
167,Queanbeyan,AU,-35.35,149.23,39.99,84,0,1.45,clear sky
168,Puerto Ayora,EC,-0.74,-90.35,66.4,82,100,11.16,overcast clouds
169,Souillac,MU,-20.52,57.52,71.6,83,75,12.75,shower rain
170,Acapulco,MX,16.86,-99.89,77.0,94,75,6.93,broken clouds
171,Hue,VN,16.47,107.6,84.2,74,40,2.24,scattered clouds
172,Darnah,LY,32.77,22.64,81.46,59,0,12.35,clear sky
173,Sobolevo,RU,54.43,31.9,64.72,82,96,6.4,moderate rain
174,Westport,US,41.14,-73.36,75.2,88,90,5.82,light rain
